dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",140,8,2019-2020
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,,0,1,2019-2020
03M402,The Urban Assembly School for Green Careers,True,010601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",5,Approved,"9,10,11,12",146,1,2019-2020
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,7,Approved,"9,10,11,12",144,1,2019-2020
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,"9,10,11,12",264,3,2019-2020
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,"9,10,11,12",385,3,2019-2020
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",148,3,2019-2020
04M435,Manhattan Center for Science and Mathematics,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,0,Non-Approved,"11,12",28,0,2019-2020
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",5,Non-Approved,"9,10,11,12",208,0,2019-2020
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,"9,10,11,12",397,0,2019-2020
05M692,"High School for Mathematics, Science and Engineeri",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Non-Approved,"9,10,11,12",404,1,2019-2020
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,2,Approved,"9,10,11,12",383,2,2019-2020
06M211,Inwood Early College for Health and Information Te,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Non-Approved,,0,2,2019-2020
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",242,1,2019-2020
06M468,High School for Health Careers and Sciences,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,"9,10,11,12",180,5,2019-2020
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,"9,10,11,12",335,1,2019-2020
07X522,Bronx Design and Construction Academy,True,150501,"Heating, Air Conditioning and Refrigeration Technology/Technician",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",40,7,2019-2020
07X522,Bronx Design and Construction Academy,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,"9,10,11,12",75,7,2019-2020
07X522,Bronx Design and Construction Academy,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Approved,"9,10,11,12",86,7,2019-2020
07X522,Bronx Design and Construction Academy,True,460302,Electrician,Architecture and Construction Cluster,3,Approved,"9,10,11,12",58,7,2019-2020
07X522,Bronx Design and Construction Academy,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,4,Approved,"9,10,11,12",76,7,2019-2020
07X600,Alfred E. Smith Career and Technical Education Hig,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,"9,10,11,12",79,8,2019-2020
07X600,Alfred E. Smith Career and Technical Education Hig,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,"9,10,11,12",254,8,2019-2020
07X600,Alfred E. Smith Career and Technical Education Hig,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",90,8,2019-2020
08X530,Longwood Preparatory Academy,False,090702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",7,Approved,"9,10,11,12",225,5,2019-2020
08X559,School for Tourism and Hospitality,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,"9,10,11,12",128,1,2019-2020
09X324,Bronx Early College Academy for Teaching & Learnin,False,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,"9,10,11,12",263,1,2019-2020
09X365,Academy for Language and Technology,False,110199,"Computer Science, Other",Information Technology Cluster,0,Approved,"9,10,11,12",194,2,2019-2020
09X365,Academy for Language and Technology,False,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,1,Approved,"9,10,11,12",160,2,2019-2020
