dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,Year
13K605,George Westinghouse Career and Technical Education,True,460302,Electrician,Architecture and Construction Cluster,3,Approved,101112,100,12,2016-2017
13K674,"City Polytechnic High School of Engineering, Archi",True,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,3,Approved,9101112,349,1,2016-2017
14K477,School for Legal Studies,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,9,Non-Approved,9101112,234,4,2016-2017
14K478,"The High School for Enterprise, Business and Techn",False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,493,9,2016-2017
14K478,"The High School for Enterprise, Business and Techn",False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Approved,9101112,356,9,2016-2017
14K558,Williamsburg High School for Architecture and Desi,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,559,3,2016-2017
14K610,Automotive High School,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,9101112,230,6,2016-2017
15K497,The Boerum Hill School for International Studies,False,120599,"Culinary Arts and Related Services, Other",Hospitality and Tourism Cluster,5,Approved,9101112,157,1,2016-2017
15K519,Cobble Hill School of American Studies,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,399,3,2016-2017
16K455,Boys and Girls High School,False,460302,Electrician,Architecture and Construction Cluster,1,Non-Approved,9101112,204,3,2016-2017
16K688,The Brooklyn Academy of Global Finance,False,520801,"Finance, General",Finance Cluster,4,Non-Approved,9101112,69,4,2016-2017
21K410,Abraham Lincoln High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,122,2,2016-2017
17K122,Pathways in Technology Early College High School (,True,150403,Electromechanical Technology/Electromechanical Engineering Technology,Manufacturing Production Cluster,1,Non-Approved,1112,30,1,2016-2017
17K122,Pathways in Technology Early College High School (,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Non-Approved,101112,181,1,2016-2017
17K408,Academy of Hospitality and Tourism,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,9101112,147,4,2016-2017
17K548,Brooklyn School for Music & Theatre,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,160,2,2016-2017
17K600,Clara Barton High School,True,510601,Dental Assisting/Assistant,Health Science Cluster,3,Approved,9101112,146,18,2016-2017
17K600,Clara Barton High School,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,134,18,2016-2017
17K600,Clara Barton High School,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,2,Non-Approved,9101112,91,18,2016-2017
17K600,Clara Barton High School,True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,3,Approved,9101112,265,18,2016-2017
17K600,Clara Barton High School,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Approved,101112,59,18,2016-2017
17K751,Academy for Health Careers,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Non-Approved,9101112,370,0,2016-2017
18K567,Brooklyn Theatre Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,232,0,2016-2017
18K617,High School for Innovation in Advertising and Medi,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Approved,9101112,230,3,2016-2017
19K502,FDNY - Captain Vernon A. Richards High School for,False,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,9101112,129,0,2016-2017
19K510,World Academy for Total Community Health High Scho,False,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,5,Non-Approved,9101112,115,9,2016-2017
19K615,Transit Tech Career and Technical Education High S,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,8,Approved,9101112,230,19,2016-2017
19K615,Transit Tech Career and Technical Education High S,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,9101112,158,19,2016-2017
19K615,Transit Tech Career and Technical Education High S,True,470105,Industrial Electronics Technology/Technician,Manufacturing Production Cluster,8,Approved,101112,39,19,2016-2017
19K615,Transit Tech Career and Technical Education High S,True,479999,"Mechanic and Repair Technologies/Technicians, Other","Transportation, Distribution and Logistics Cluster",3,Approved,9101112,106,19,2016-2017
19K618,Academy of Innovative Technology,True,110103,Information Technology,Information Technology Cluster,2,Non-Approved,9101112,73,4,2016-2017
19K618,Academy of Innovative Technology,True,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,3,Approved,9101112,190,4,2016-2017
19K618,Academy of Innovative Technology,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,2,Approved,9101112,84,4,2016-2017
19K660,W. H. Maxwell Career and Technical Education High,True,100105,Communications Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,89,3,2016-2017
19K660,W. H. Maxwell Career and Technical Education High,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,1,Approved,9101112,177,3,2016-2017
19K660,W. H. Maxwell Career and Technical Education High,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,50,3,2016-2017
19K660,W. H. Maxwell Career and Technical Education High,True,510706,Health Information/Medical Records Administration/Administrator,Health Science Cluster,0,Non-Approved,9101112,78,3,2016-2017
19K660,W. H. Maxwell Career and Technical Education High,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,1,Approved,9101112,34,3,2016-2017
19K764,The Urban Assembly School for Collaborative Health,True,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,1,Non-Approved,91011,126,8,2016-2017
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,9101112,186,20,2016-2017
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,2,Non-Approved,9101112,327,20,2016-2017
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,9101112,263,20,2016-2017
20K445,New Utrecht High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Non-Approved,9101112,145,20,2016-2017
20K485,High School of Telecommunication Arts and Technolo,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,9101112,211,0,2016-2017
