dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,Year
30Q450,Long Island City High School,False,520901,"Hospitality Administration/Management, General",Hospitality and Tourism Cluster,5,Approved,9101112,139,16,2016-2017
30Q501,Frank Sinatra School of the Arts High School,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,113,0,2016-2017
30Q501,Frank Sinatra School of the Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,127,0,2016-2017
30Q502,Information Technology High School,False,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,3,Approved,101112,102,10,2016-2017
30Q502,Information Technology High School,False,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,101112,97,10,2016-2017
31R440,New Dorp High School,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,391,15,2016-2017
31R440,New Dorp High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,9101112,94,15,2016-2017
31R440,New Dorp High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,15,Non-Approved,9101112,352,15,2016-2017
31R440,New Dorp High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,7,Approved,9101112,269,15,2016-2017
31R445,Port Richmond High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,3,Non-Approved,9101112,350,7,2016-2017
31R445,Port Richmond High School,False,150401,Biomedical Technology/Technician,Scientific Research and Engineering Cluster,1,Non-Approved,101112,82,7,2016-2017
31R445,Port Richmond High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,1,Non-Approved,9101112,174,7,2016-2017
31R445,Port Richmond High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,4,Non-Approved,9101112,24,7,2016-2017
31R450,Curtis High School,False,90102,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,251,10,2016-2017
31R450,Curtis High School,False,110301,Data Processing Technology/Technician,Information Technology Cluster,5,Non-Approved,9101112,344,10,2016-2017
31R450,Curtis High School,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,35,Non-Approved,9101112,347,10,2016-2017
31R450,Curtis High School,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,139,10,2016-2017
31R450,Curtis High School,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,224,10,2016-2017
31R450,Curtis High School,False,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Approved,9101112,120,10,2016-2017
31R450,Curtis High School,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Approved,101112,187,10,2016-2017
31R455,Tottenville High School,False,90903,Advertising,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,87,13,2016-2017
31R455,Tottenville High School,False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Non-Approved,101112,94,13,2016-2017
31R455,Tottenville High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,3,Non-Approved,9101112,164,13,2016-2017
31R455,Tottenville High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,10,Non-Approved,101112,160,13,2016-2017
31R455,Tottenville High School,False,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",2,Approved,9101112,167,13,2016-2017
31R455,Tottenville High School,False,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,101112,82,13,2016-2017
31R455,Tottenville High School,False,510699,"Dental Services and Allied Professions, Other",Health Science Cluster,1,Approved,101112,92,13,2016-2017
31R455,Tottenville High School,False,510899,"Health/Medical Assisting Services, Other",Health Science Cluster,2,Non-Approved,1112,153,13,2016-2017
31R455,Tottenville High School,False,520304,Accounting and Finance,Business Management and Administration Cluster,4,Non-Approved,101112,138,13,2016-2017
31R460,Susan E. Wagner High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,357,2,2016-2017
31R460,Susan E. Wagner High School,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Non-Approved,9101112,140,2,2016-2017
31R460,Susan E. Wagner High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,1,Non-Approved,9101112,143,2,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,74,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,9101112,56,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Non-Approved,9101112,46,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,1,Approved,9101112,41,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,5,Approved,101112,56,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,460302,Electrician,Architecture and Construction Cluster,5,Non-Approved,91011,48,14,2016-2017
31R600,Ralph R. McKee Career and Technical Education High,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,84,14,2016-2017
31R605,Staten Island Technical High School,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Approved,9101112,1309,2,2016-2017
